,posted,neighborhood,post title,number bedrooms,sqft,URL,price
81,2019-04-26 13:58, (SOMA / south beach),"Now Leasing, Instant Cool Factor",2br,1008ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-leasing-instant-cool/6875549593.html,5926
82,2019-04-26 13:58, (San Francisco - Pacific Heights),Immaculate Efficiency Studio in Great Location! RentalsInSf.com,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-efficiency/6875549499.html,1495
83,2019-04-26 13:58, (165A Alpine Terrace-Buena Vista Park area)),MUST SEE 1BD/1BA Remodel Apt. Available Now!!,1br,700ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-must-see-1bd-1ba-remodel/6858267868.html,3600
84,2019-04-26 13:58, (ingleside / SFSU / CCSF),2 BD|1BA Blocks from SFSU.Saturday 12:25pm until 12:50pm,2br,600ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bd1ba-blocks-from/6875549088.html,2399
85,2019-04-26 13:57, (downtown / civic / van ness),Red Brick Building Houses Coziest Abode on Polk Street,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-red-brick-building-houses/6875548543.html,1995
86,2019-04-26 13:57, (ingleside / SFSU / CCSF),Top Floor! Sunny One Bedroom! W/D!,1br,773ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-sunny-one/6870147625.html,3475
87,2019-04-26 13:55, (marina / cow hollow),1BR/1BA *FURNISHED Condo w Garden*,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1br-1ba-furnished-condo/6857948447.html,3480
88,2019-04-26 13:54, (north beach / telegraph hill),"Remodeled 1BD/1BA, Great Location",1br,800ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-1bd-1ba-great/6875545668.html,3650
89,2019-04-26 13:53, (downtown / civic / van ness),"Low Cost, Single Apt Style Rooms Available in Heart of San Francisco",,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-low-cost-single-apt-style/6875540826.html,1595
90,2019-04-26 13:53, (lower nob hill),Epic Nights out on the Town Are Just a Few Steps From Your Front Door,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-nights-out-on-the/6875544915.html,2495
91,2019-04-26 13:52, (noe valley),Lovely Noe Valley Top Floor 2bd/2ba Condo w/Parking!,2br,980ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lovely-noe-valley-top/6875544217.html,4600
92,2019-04-26 13:52, (laurel hts / presidio),Presidio Heights | 3 Bd Flat | Newly Renovated | Top Floor | ReLISTO,3br,1300ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-presidio-heights-3-bd/6875534649.html,5895
93,2019-04-26 13:52, (richmond / seacliff),"Open House Saturday, 4/26 at 11am-12pm",1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-saturday-4-26/6875543779.html,3299
94,2019-04-26 13:51, (laurel hts / presidio),Presidio Heights | 3 Bd Flat | Newly Renovated | Top Floor | ReLISTO,3br,2600ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-presidio-heights-3-bd/6875535085.html,6190
